date,USD,SAR,MYR,SGD,THB,TRY,JPY,VND,IDR
2023-12-19,0.272279,1.021336,1.275492,0.361804,9.486182,7.921563,39.178824,6632.045111,4209.983845
2023-12-20,0.272294,1.021312,1.268353,0.362647,9.524708,7.932061,39.081408,6628.997728,4249.420355
2023-12-21,0.272279,1.021392,1.267596,0.361233,9.449039,7.933889,38.682979,6624.551784,4205.623792
2023-12-22,0.272306,1.021421,1.26772,0.360697,9.408258,7.921469,38.774962,6603.410083,4211.709412
2023-12-23,0.272294,1.021371,1.267665,0.3608,9.422736,7.921126,38.77746,6603.123771,4211.5268
2023-12-24,0.272294,1.021379,1.267664,0.360434,9.423682,7.935324,38.787579,6603.125884,4211.528148
2023-12-25,0.272287,1.021344,1.261229,0.360807,9.414029,7.982464,38.728683,6601.589064,4211.457127
2023-12-26,0.272283,1.021265,1.262984,0.360341,9.40942,7.980859,38.790656,6626.006055,4195.063706
2023-12-27,0.272272,1.021034,1.260341,0.359308,9.333886,8.002857,38.499771,6632.540666,4187.540043
2023-12-28,0.272272,1.020949,1.254493,0.359481,9.337655,8.038778,38.508387,6602.596918,4225.662027
2023-12-29,0.272275,1.021133,1.251115,0.359595,9.502686,8.025666,38.397617,6608.118429,4190.342127
2023-12-30,0.272294,1.021203,1.2512,0.359619,9.503335,8.026214,38.400239,6608.569646,4190.628253
2023-12-31,0.272275,1.021026,1.251094,0.359274,9.375787,7.99572,38.398558,6608.118429,4190.342127
2024-01-01,0.272294,1.021073,1.251187,0.359373,9.353245,8.046435,38.42902,6608.580798,4190.608096
2024-01-02,0.272272,1.021022,1.253404,0.361143,9.32886,8.101069,38.705254,6625.742306,4221.57939
2024-01-03,0.272272,1.021127,1.253403,0.361703,9.379848,8.111325,38.934995,6639.346342,4237.092794
2024-01-04,0.272294,1.021243,1.261945,0.362012,9.40286,8.126858,39.420401,6635.803076,4225.470822
2024-01-05,0.272294,1.021223,1.267392,0.362342,9.440525,8.117704,39.383219,6638.52196,4221.465522
2024-01-06,0.272272,1.021031,1.267289,0.362313,9.439754,8.117041,39.380002,6637.979716,4221.120707
2024-01-07,0.272271,1.021128,1.267287,0.36205,9.439244,8.133418,39.407895,6637.979137,4221.120338
2024-01-08,0.272265,1.021021,1.26644,0.361761,9.515664,8.145856,39.26995,6628.281851,4222.007257
2024-01-09,0.272294,1.021091,1.264399,0.36243,9.509876,8.159804,39.331139,6635.811491,4232.174619
2024-01-10,0.272264,1.020951,1.26426,0.362465,9.540276,8.129593,39.680068,6648.693394,4236.976519
2024-01-11,0.272294,1.021125,1.265077,0.362234,9.534104,8.186771,39.495468,6668.485773,4237.579005
2024-01-12,0.272271,1.021077,1.265253,0.362856,9.503243,8.195867,39.442509,6671.994097,4230.596967
2024-01-13,0.272264,1.021053,1.265222,0.362847,9.515731,8.195668,39.441551,6671.832001,4230.494185
2024-01-14,0.272271,1.021077,1.265248,0.36267,9.521022,8.191318,39.521594,6671.994097,4230.596967
2024-01-15,0.272265,1.021014,1.271339,0.363216,9.521158,8.193266,39.692494,6665.035834,4236.980704
2024-01-16,0.272265,1.021143,1.265206,0.365517,9.641722,8.201455,40.091229,6675.928004,4256.040235
2024-01-17,0.272262,1.021068,1.284394,0.366038,9.693328,8.207003,40.327263,6675.856132,4255.722153
2024-01-18,0.272294,1.021258,1.284547,0.365901,9.677369,8.212012,40.335753,6687.544999,4253.398429
2024-01-19,0.272268,1.021185,1.283482,0.365058,9.666512,8.223324,40.333901,6684.181798,4252.732392
2024-01-20,0.272264,1.02117,1.283464,0.365053,9.66637,8.223203,40.33331,6684.083886,4252.670097
2024-01-21,0.272265,1.021155,1.283468,0.365024,9.677782,8.226596,40.334378,6684.096616,4252.678196
2024-01-22,0.272294,1.021206,1.286996,0.365485,9.702919,8.241035,40.339268,6688.901181,4264.981174
2024-01-23,0.272257,1.021049,1.286821,0.365086,9.720131,8.245448,40.36848,6690.7126,4281.239294
2024-01-24,0.272256,1.021006,1.287494,0.364765,9.731255,8.236572,40.172347,6700.223685,4280.315794
2024-01-25,0.272265,1.020929,1.288223,0.364933,9.730743,8.250261,40.220238,6701.126868,4305.873902
2024-01-26,0.272294,1.021094,1.28727,0.365746,9.701927,8.261131,40.349862,6699.788057,4295.502196
2024-01-27,0.272254,1.020944,1.287082,0.365693,9.700508,8.259922,40.34396,6698.80805,4294.873875
2024-01-28,0.272294,1.021094,1.287268,0.365436,9.700871,8.259772,40.33936,6699.78656,4295.501237
2024-01-29,0.272254,1.020925,1.288987,0.36474,9.648569,8.263947,40.151213,6681.113646,4311.142404
2024-01-30,0.272256,1.020952,1.287224,0.364663,9.633762,8.26661,40.12382,6645.761801,4299.462121
2024-01-31,0.27226,1.021011,1.287653,0.364967,9.688509,8.267121,40.023589,6649.951056,4295.174119
2024-02-01,0.272259,1.021021,1.287267,0.363926,9.617541,8.289744,39.873408,6645.841417,4283.450349
2024-02-02,0.272268,1.021035,1.284426,0.365957,9.649241,8.304532,40.39779,6629.728178,4283.103898
2024-02-03,0.272254,1.020982,1.284359,0.365938,9.648739,8.3041,40.395688,6629.383297,4282.881089
2024-02-04,0.272294,1.02113,1.284547,0.365828,9.690675,8.34693,40.435378,6630.357278,4283.510325
2024-02-05,0.272259,1.021105,1.293314,0.36675,9.738726,8.315292,40.470001,6638.364414,4294.891772
2024-02-06,0.272258,1.021031,1.297446,0.365837,9.681394,8.324412,40.24493,6634.931439,4285.34349
2024-02-07,0.272256,1.021026,1.296346,0.365732,9.687262,8.330066,40.318597,6649.842305,4261.888698
2024-02-08,0.272255,1.021016,1.298766,0.366696,9.757647,8.350981,40.638108,6649.824187,4264.885502
2024-02-09,0.272268,1.021035,1.297368,0.366501,9.777248,8.35158,40.650999,6650.148286,4250.499793
2024-02-10,0.272264,1.02102,1.297349,0.366481,9.777105,8.351458,40.655849,6650.050872,4250.437531
2024-02-11,0.272294,1.021171,1.297485,0.366308,9.772512,8.355217,40.618983,6650.79234,4250.911447
2024-02-12,0.272265,1.021063,1.297345,0.36615,9.776324,8.363368,40.678229,6650.061734,4243.243076
